19:33:59.527  CMBT   | Killed Py6Jl	 Ship_Race3_M_T2_Pirate|0000000248;	 killer Feresey|0000000204 Weapon_Plasmagun_Heavy_T5_Pirate 
21:11:29.664  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000005109;	 killer Py6Jl|0000002395 Weapon_ThorHammer_T5_Epic 
21:11:45.616  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044645;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:11:45.617  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046253;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:11:50.449  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000032071;	 killer YanFei|0000005339 Weapon_ThorHammer_T5_Epic 
21:11:50.935  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044665;	 killer Rentd|0000056097 Weapon_ThorHammer_T5_Epic 
21:11:51.273  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044685;	 killer ClanShip_SideTurret_t5|0000000737 ClanShip_SideTurret_t5 
21:11:53.694  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044800;	 killer FireWarrior|-000000001 ClanShip_SideRocketTurret_t5 
21:11:54.076  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044865;	 killer Rentd|0000056097 ClanShip_SideRocketTurret_t5 
21:11:55.989  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000500;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:12:01.147  CMBT   | Killed ClanShip_Torpedo|0000060400;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:12:01.259  CMBT   | Killed ClanShip_Torpedo|0000060396;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:12:01.935  CMBT   | Killed DistStation(Rule34)|0000055434;	 killer YanFei|0000005339 Weapon_ThorHammer_T5_Epic 
21:12:02.107  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000513;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:12:02.115  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000514;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:12:02.115  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000509;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:12:02.115  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000470;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:12:02.115  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000510;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:12:04.519  CMBT   | Killed ClanShip_Torpedo|0000060398;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:12:04.584  CMBT   | Killed ClanShip_Torpedo|0000060402;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:12:06.049  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044885;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:12:08.404  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046383;	 killer ClanShip_SideTurret_t5|0000000723 ClanShip_SideTurret_t5 
21:12:09.797  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046332;	 killer ClanShip_SideTurret_t5|0000000719 ClanShip_SideTurret_t5 
21:12:16.031  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044600;	 killer ClanShip_SideTurret_t5|0000000723 ClanShip_SideTurret_t5 
21:12:20.744  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000499;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:12:22.928  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000044909;	 killer ClanShip_SideTurret_t5|0000000723 ClanShip_SideTurret_t5 
21:12:26.807  CMBT   | Killed ClanShip_SideTurret_t5|0000000737;	 killer ClanShip_MainTurret_Empire|0000000271 ClanShip_MainTurret_Empire 
21:12:30.956  CMBT   | Killed DistStation(MaxVerzila)|0000070962;	 killer Gladiator|0000003117 Weapon_PlasmaBursts_T5_Rel 
21:12:42.795  CMBT   | Killed ClanShip_Stuff_Emp_ElementF|0000000492;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:12:50.984  CMBT   | Killed YanFei	 Ship_Race1_M_T5_Dlc|0000005339;	 killer Jigolee|0000055013 Module_HadrianDefenderShield 
21:12:52.061  CMBT   | Killed FireWarrior	 Ship_Race1_S_T5_Bootlegger|0000002764;	 killer Jigolee|0000055013 Module_HadrianDefenderShield 
21:12:54.578  CMBT   | Killed Jigolee	 Ship_Race1_M_T5_Hadrian|0000055013;	 killer Ayaka|0000001780 Weapon_Hammer_T5_Epic 
21:12:56.095  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000644;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:12:59.467  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000643;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:13:00.407  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000056097;	 killer Feresey|0000055089 Weapon_Plasmagun_Heavy_T5_Pirate 
21:13:05.900  CMBT   | Killed ClanShip_Torpedo|0000083182;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:13:06.803  CMBT   | Killed ClanShip_Torpedo|0000083180;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:13:09.043  CMBT   | Killed ClanShip_Torpedo|0000083184;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:13:09.717  CMBT   | Killed DistStation(MaxVerzila)|0000084683;	 killer MaxVerzila|0000084683 (suicide) <FriendlyFire>
21:13:09.726  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_CraftSpec|0000052737;	 killer Py6Jl|0000002395 Weapon_ThorHammer_T5_Epic 
21:13:13.196  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000779;	 killer Gladiator|0000003117 Weapon_PlasmaBursts_T5_Rel 
21:13:16.518  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000464;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:13:24.701  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000434;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:13:27.292  CMBT   | Killed npoctoMyzhuk	 Ship_Race5_M_ATTACK_Rank15|0000002860;	 killer Py6Jl|0000002395 Weapon_ThorHammer_T5_Epic 
21:13:34.518  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000498;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:13:45.635  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000097030;	 killer ClanShip_MainTurret_Empire|0000000273 ClanShip_MainTurret_Empire 
21:13:52.482  CMBT   | Killed DistStation(Rule34)|0000098276;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:13:57.417  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096506;	 killer ClanShip_MainTurret_Empire|0000000271 ClanShip_MainTurret_Empire 
21:14:11.677  CMBT   | Killed ClanShip_Torpedo|0000105626;	 killer ClanShip_MainTurret_Empire|0000000287 ClanShip_MainTurret_Empire 
21:14:12.300  CMBT   | Killed PomogitePsixy	 Ship_Race2_M_T5_CraftUniq|0000002113;	 killer FireWarrior|0000084229 Weapon_ClanShipDrone_Laser 
21:14:12.576  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000097167;	 killer Feresey|0000055089 Weapon_Plasmagun_Heavy_T5_Pirate 
21:14:13.209  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096585;	 killer Feresey|0000055089 Weapon_Plasmagun_Heavy_T5_Pirate 
21:14:13.875  CMBT   | Killed ClanShip_Torpedo|0000105628;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:14:14.097  CMBT   | Killed ClanShip_Torpedo|0000105630;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:14:15.112  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096453;	 killer ClanShip_SideTurret_t5|0000000723 ClanShip_SideTurret_t5 
21:14:19.092  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096657;	 killer Gladiator|0000003117 Weapon_PlasmaBursts_T5_Rel 
21:14:22.901  CMBT   | Killed ClanShip_Torpedo|0000105632;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:14:24.591  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096474;	 killer Feresey|0000055089 Weapon_Plasmagun_Heavy_T5_Pirate 
21:14:29.479  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000097107;	 killer FireWarrior|0000113033 ClanShip_SideRocketTurret_t5 
21:14:31.099  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000431;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:14:31.099  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000473;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:14:31.321  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000097136;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:14:31.950  CMBT   | Killed Ayaka	 Ship_Race2_M_T5_CraftUniq|0000001780;	 killer Feresey|0000055089 Weapon_ClanShipDrone_Laser 
21:14:35.582  CMBT   | Killed DistStation(Rule34)|0000119624;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:14:37.777  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000458;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:14:40.367  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000092587;	 killer Gladiator|0000003117 Module_BFG_T5_Epic 
21:14:42.318  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000455;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:14:46.314  CMBT   | Killed YanFei	 Ship_Race1_M_T5_Dlc|0000084524;	 killer Py6Jl|0000002395 Weapon_ThorHammer_T5_Epic 
21:14:47.146  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096374;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:14:47.367  CMBT   | Killed Expendable_BattleDroneLarge_T5_Mk3(Rule34)|0000005435;	 killer Rule34|0000005435 (suicide) <FriendlyFire>
21:14:47.367  CMBT   | Killed Expendable_BattleDroneLarge_T5_Mk3(Rule34)|0000002212;	 killer Rule34|0000002212 (suicide) <FriendlyFire>
21:14:47.373  CMBT   | Killed Rule34	 Ship_Race1_L_T5_CraftSpec|0000001887;	 killer FireWarrior|0000084229 Weapon_SeeressGun_T5_Epic 
21:14:50.509  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096565;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:14:54.665  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000660;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:14:54.665  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000659;	 killer Sumelru|0000004013 SpaceMissile_Torpedo_T4_Mk3 
21:14:56.682  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000497;	 killer TENEVOY|0000002983 ClanShip_AverageTurret2 
21:14:57.424  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000096427;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:15:01.622  CMBT   | Killed DistStation(MaxVerzila)|0000126365;	 killer MaxVerzila|0000126365 (suicide) <FriendlyFire>
21:15:01.627  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_CraftSpec|0000095811;	 killer Feresey|0000055089 Weapon_Plasmagun_Heavy_T5_Pirate 
21:15:01.737  CMBT   | Killed ClanShip_Stuff_Emp_ElementC|0000000415;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:15:05.620  CMBT   | Killed npoctoMyzhuk	 Ship_Race5_M_ATTACK_Rank15|0000095948;	 killer Py6Jl|0000002395 Weapon_ThorHammer_T5_Epic 
21:15:17.295  CMBT   | Killed ClanShip_Torpedo|0000133748;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:15:18.982  CMBT   | Killed ClanShip_Torpedo|0000133752;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:15:20.552  CMBT   | Killed ClanShip_Torpedo|0000133750;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:15:22.231  CMBT   | Killed ClanShip_Torpedo|0000133754;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:15:32.716  CMBT   | Killed xSterben	 Ship_Race2_M_T5_Premium|0000007530;	 killer Py6Jl|0000002395 Module_ThorBlast 
21:15:42.035  CMBT   | Killed DistStation(Rule34)|0000136428;	 killer Sumelru|0000004013 Module_Disintegrator_T4_Base 
21:15:47.765  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000467;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:15:48.992  CMBT   | Killed ClanShip_FlakGun|0000000530;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:15:48.993  CMBT   | Killed ClanShip_FlakGun|0000000521;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:15:58.598  CMBT   | Killed ClanShip_Stuff_Emp_SGen|0000000411;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:15:58.598  CMBT   | Killed ClanShip_Stuff_Emp_Radar|0000000511;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:16:00.447  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_CraftSpec|0000145480;	 killer Feresey|0000055089 SpaceMissile_Torpedo_T5_Mk3 
21:16:05.269  CMBT   | Killed YanFei	 Ship_Race1_M_T5_Dlc|0000134905;	 killer Py6Jl|0000002395 SpaceMissile_Standart_T5_Mk3 
21:16:18.348  CMBT   | Killed Rentd	 Ship_Race1_M_T5_Dlc|0000137869;	 killer Py6Jl|0000002395 Weapon_ThorHammer_T5_Epic 
21:16:22.160  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000154761;	 killer ClanShip_MainTurret_Empire|0000000271 ClanShip_MainTurret_Empire 
21:16:22.160  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000154783;	 killer ClanShip_MainTurret_Empire|0000000271 ClanShip_MainTurret_Empire 
21:16:22.160  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000155627;	 killer ClanShip_MainTurret_Empire|0000000271 ClanShip_MainTurret_Empire 
21:16:23.399  CMBT   | Killed ClanShip_Torpedo|0000157100;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:16:26.658  CMBT   | Killed ClanShip_Torpedo|0000157102;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:16:27.782  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000154897;	 killer ClanShip_MainTurret_Empire|0000000285 ClanShip_MainTurret_Empire <FriendlyFire>
21:16:27.941  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000154804;	 killer ClanShip_MainTurret_Empire|0000000285 ClanShip_MainTurret_Empire 
21:16:33.056  CMBT   | Killed Ayaka	 Ship_Race2_M_T5_CraftUniq|0000126265;	 killer Jigolee|0000090984 Weapon_Cold_Ray_T5_Rel 
21:16:37.549  CMBT   | Killed Sumelru	 Ship_Race1_L_T4_Faction2|0000004013;	 killer Py6Jl|0000002395 Weapon_ThorHammer_T5_Epic 
21:16:47.328  CMBT   | Killed Jigolee	 Ship_Race3_M_T5_Faction2|0000090984;	 killer npoctoMyzhuk|0000141266 ClanShip_SideTurret 
21:16:49.954  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000758;	 killer Gladiator|0000003117 Module_DevastatorGun_T5_Epic 
21:16:50.015  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000154838;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:16:50.808  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000154917;	 killer ClanShip_SideRocketTurret_t5|0000000794 ClanShip_SideRocketTurret_t5 
21:16:52.758  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000154866;	 killer ClanShip_SideTurret_t5|0000000735 ClanShip_SideTurret_t5 
21:17:01.860  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000406;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:17:01.860  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000408;	 killer TENEVOY|0000002983 SpaceMissile_Torpedo_T4_Mk3 
21:17:02.373  CMBT   | Killed DistStation(Rule34)|0000166589;	 killer xSterben|0000145123 Weapon_Railgun_Sniper_T5_Rel 
21:17:04.621  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000155500;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:17:18.648  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000155469;	 killer ClanShip_SideTurret_t5|0000000723 ClanShip_SideTurret_t5 
21:17:28.304  CMBT   | Killed ClanShip_Torpedo|0000179807;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:17:30.149  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000155647;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:17:31.444  CMBT   | Killed PomogitePsixy	 Ship_Race2_M_T5_CraftUniq|0000118450;	 killer Ayaka|0000167174 SpaceMissile_ResistSub_T5_Mk3 
21:17:31.782  CMBT   | Killed ClanShip_Torpedo|0000179809;	 killer TENEVOY|0000002983 Module_Disintegrator_T4_Base 
21:17:39.459  CMBT   | Killed YanFei	 Ship_Race2_M_T2_Steam|0000167786;	 killer Py6Jl|0000002395 Module_ThorBlast 
21:17:42.944  CMBT   | Killed Feresey	 Ship_Race5_M_ATTACK_Rank15|0000055089;	 killer npoctoMyzhuk|0000141266 Weapon_Plasmagun_Heavy_T5_Pirate 
21:21:41.169  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000001920;	 killer ClanShip_MainTurret_Empire|0000000283 ClanShip_MainTurret_Empire 
21:21:47.000  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000001880;	 killer FireWarrior|0000002283 ClanShip_SideRocketTurret_t5 
21:21:52.279  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000001940;	 killer Py6Jl|0000001985 ClanShip_SideTurret_t5 
21:21:52.728  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000788;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:21:55.467  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000001900;	 killer Rentd|0000003152 Weapon_ThorHammer_T5_Epic 
21:21:59.511  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000797;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:22:11.977  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000508;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:22:11.978  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000515;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:22:11.978  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000752;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:22:11.979  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000507;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:22:11.979  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000776;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:22:11.979  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000516;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:22:13.281  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000764;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:22:13.616  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000633;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:22:20.603  CMBT   | Killed ClanShip_SideTurret_t5|0000000715;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:22:20.940  CMBT   | Killed ClanShip_Torpedo|0000014492;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:22:21.663  CMBT   | Killed ClanShip_Torpedo|0000014490;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:22:24.017  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000658;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:22:24.017  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000657;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:22:24.354  CMBT   | Killed ClanShip_Torpedo|0000014494;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:22:24.868  CMBT   | Killed ClanShip_Torpedo|0000014488;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:22:31.873  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000773;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:22:43.842  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000634;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:22:46.986  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000016090;	 killer ClanShip_SideRocketTurret_t5|0000000761 ClanShip_SideRocketTurret_t5 
21:22:49.225  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000016113;	 killer ClanShip_SideTurret_t5|0000000723 ClanShip_SideTurret_t5 
21:22:49.791  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000016069;	 killer ClanShip_SideRocketTurret_t5|0000000782 ClanShip_SideRocketTurret_t5 
21:22:53.609  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000761;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:22:58.773  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000016133;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:23:17.747  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000402;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:23:17.747  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000440;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:23:17.747  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000437;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:23:17.747  CMBT   | Killed ClanShip_Stuff_Emp_ElementA|0000000417;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:23:19.870  CMBT   | Killed ClanShip_SideTurret_t5|0000000733;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:23:27.441  CMBT   | Killed ClanShip_Torpedo|0000038481;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:23:27.558  CMBT   | Killed ClanShip_Torpedo|0000038485;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:23:30.694  CMBT   | Killed ClanShip_Torpedo|0000038483;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:23:31.029  CMBT   | Killed ClanShip_Torpedo|0000038487;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:23:31.150  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000646;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:23:31.150  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000645;	 killer Sumelru|0000003049 SpaceMissile_Torpedo_T4_Mk3 
21:23:37.984  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000565;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:23:40.456  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000034161;	 killer ClanShip_SideTurret_t5|0000000737 ClanShip_SideTurret_t5 
21:23:41.189  CMBT   | Killed ClanShip_FlakGun|0000000530;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:23:41.189  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000034121;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:23:51.069  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000635;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:23:53.473  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046774;	 killer ClanShip_MainTurret_Empire|0000000285 ClanShip_MainTurret_Empire 
21:23:59.411  CMBT   | Killed ClanShip_Stuff_Emp_ElementF|0000000492;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:24:17.497  CMBT   | Killed npoctoMyzhuk	 Ship_Race5_M_ATTACK_Rank15|0000002220;	 killer TENEVOY|0000001750 Module_Disintegrator_T4_Base 
21:24:18.724  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046606;	 killer ClanShip_MainTurret_Empire|0000000275 ClanShip_MainTurret_Empire 
21:24:19.289  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000568;	 killer Sumelru|0000003049 Module_Disintegrator_T4_Base 
21:24:20.181  CMBT   | Killed ClanShip_SideRocketTurret_t5|0000000782;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:24:20.520  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046630;	 killer ClanShip_SideTurret_t5|0000000719 ClanShip_SideTurret_t5 
21:24:23.951  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000509;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:24:23.952  CMBT   | Killed ClanShip_Stuff_Emp_ElementD|0000000470;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:24:23.952  CMBT   | Killed ClanShip_Stuff_Emp_ElementJ|0000000510;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:24:23.952  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000513;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:24:23.953  CMBT   | Killed ClanShip_Stuff_Emp_ElementI|0000000514;	 killer TENEVOY|0000001750 SpaceMissile_Torpedo_T4_Mk3 
21:24:24.861  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046974;	 killer ClanShip_SideTurret_t5|0000000717 ClanShip_SideTurret_t5 
21:24:26.803  CMBT   | Killed Ship_Bot_ClanShipDroneBig_Empire|0000046661;	 killer ClanShip_SideRocketTurret_t5|0000000794 ClanShip_SideRocketTurret_t5 
